,Time,Text,At,Battery,x_speed,y_speed,z_speed,x_position,y_position,z_position
0,2023-12-24 20:04:39.926824,,,72,0,0,0,0.0,0.0,0.0
1,2023-12-24 20:04:40.939324,,,71,0,0,-6,0.0,0.0,-3.0
2,2023-12-24 20:04:41.939656,,,71,0,0,-1,0.0,0.0,-6.5
3,2023-12-24 20:04:42.940109,,,71,0,0,0,0.0,0.0,-7.0
4,2023-12-24 20:04:43.940680,,,71,0,0,0,0.0,0.0,-7.0
5,2023-12-24 20:04:44.941508,,,71,0,0,0,0.0,0.0,-7.0
6,2023-12-24 20:04:45.941989,,,71,0,0,0,0.0,0.0,-7.0
7,2023-12-24 20:04:46.942600,,,71,0,0,0,0.0,0.0,-7.0
8,2023-12-24 20:04:47.943239,,,71,0,0,0,0.0,0.0,-7.0
9,2023-12-24 20:04:48.943586,,,71,0,0,-2,0.0,0.0,-8.0
10,2023-12-24 20:04:49.943997,,,71,0,0,-1,0.0,0.0,-9.5
11,2023-12-24 20:04:50.944665,,,71,0,0,0,0.0,0.0,-10.0
12,2023-12-24 20:04:51.945037,,,71,0,2,0,0.0,1.0,-10.0
13,2023-12-24 20:04:52.945377,,,71,0,2,0,0.0,3.0,-10.0
14,2023-12-24 20:04:53.946052,"ROW 4 , COl 1","(0, 0)",71,0,0,0,0.0,4.0,-10.0
15,2023-12-24 20:04:54.946273,,"(0, 0)",71,0,2,0,0.0,5.0,-10.0
16,2023-12-24 20:04:55.946514,,"(0, 0)",71,0,2,0,0.0,7.0,-10.0
17,2023-12-24 20:04:56.946910,"ROW 4 , COl 1","(0, 1)",71,0,0,1,0.0,8.0,-9.5
18,2023-12-24 20:04:57.947489,,"(0, 1)",71,0,0,1,0.0,8.0,-8.5
19,2023-12-24 20:04:58.948091,,"(0, 1)",71,0,0,2,0.0,8.0,-7.0
20,2023-12-24 20:04:59.948661,,"(0, 1)",71,0,0,0,0.0,8.0,-6.0
21,2023-12-24 20:05:00.949177,,"(0, 1)",70,0,-2,0,0.0,7.0,-6.0
22,2023-12-24 20:05:01.949635,,"(0, 1)",70,0,-2,0,0.0,5.0,-6.0
23,2023-12-24 20:05:02.950042,"ROW 4 , COl 1","(1, 0)",69,0,0,0,0.0,4.0,-6.0
24,2023-12-24 20:05:03.950629,,"(1, 0)",69,0,-2,0,0.0,3.0,-6.0
25,2023-12-24 20:05:04.951360,,"(1, 0)",69,0,-2,0,0.0,1.0,-6.0
26,2023-12-24 20:05:05.951914,,"(1, 0)",69,0,-1,0,0.0,-0.5,-6.0
27,2023-12-24 20:05:06.952211,,"(1, 0)",69,0,0,-1,0.0,-1.0,-6.5
28,2023-12-24 20:05:07.952451,,"(1, 0)",68,0,0,0,0.0,-1.0,-7.0
29,2023-12-24 20:05:08.952643,,"(1, 0)",68,0,0,0,0.0,-1.0,-7.0
30,2023-12-24 20:05:09.953360,,"(1, 0)",68,0,0,0,0.0,-1.0,-7.0
31,2023-12-24 20:05:10.953947,,"(1, 0)",68,0,-2,0,0.0,-2.0,-7.0
32,2023-12-24 20:05:11.954655,,"(1, 0)",67,0,3,0,0.0,-1.5,-7.0
33,2023-12-24 20:05:12.954891,,"(1, 0)",67,0,-2,0,0.0,-1.0,-7.0
34,2023-12-24 20:05:13.955931,"ROW 4 , COl 1","(1, 1)",67,0,1,1,0.0,-1.5,-6.5
35,2023-12-24 20:05:14.956577,,"(1, 1)",67,0,3,1,0.0,0.5,-5.5
36,2023-12-24 20:05:15.957294,,"(1, 1)",66,0,0,0,0.0,2.0,-5.0
